country_id,year,country,ISO3,hs_eci_rank,GDP_2021,gini_2021,group_type,group_name,group_id
705,2021,Slovenia,SVN,11,46502.0978938704,0.243,continent,Europe,933
710,2021,South Africa,ZAF,60,14172.5442514653,,continent,Africa,932
716,2021,Zimbabwe,ZWE,112,3276.26775276077,,continent,Africa,932
724,2021,Spain,ESP,36,43620.6040614123,0.33899999999999997,continent,Europe,933
729,2021,Sudan,SDN,134,3420.45190429688,,continent,Africa,932
748,2021,Eswatini,SWZ,53,10202.5096087228,,continent,Africa,932
752,2021,Sweden,SWE,10,63375.0446462412,0.298,continent,Europe,933
756,2021,Switzerland,CHE,3,81603.2073073193,,continent,Europe,933
762,2021,Tajikistan,TJK,118,4074.56022293416,,continent,Asia,931
764,2021,Thailand,THA,26,20280.9337147138,0.349,continent,Asia,931
768,2021,Togo,TGO,124,2646.82803893719,0.379,continent,Africa,932
780,2021,Trinidad and Tobago,TTO,64,27631.6778146419,,continent,North America,930
784,2021,United Arab Emirates,ARE,61,68912.5455452314,,continent,Asia,931
788,2021,Tunisia,TUN,50,12159.0545314745,0.337,continent,Africa,932
792,2021,Turkiye,TUR,45,31637.5305444616,0.444,continent,Asia,931
795,2021,Turkmenistan,TKM,132,,,continent,Asia,931
800,2021,Uganda,UGA,91,2688.26683541475,,continent,Africa,932
804,2021,Ukraine,UKR,47,18040.345703125,,continent,Europe,933
807,2021,North Macedonia,MKD,56,22371.4967909767,,continent,Europe,933
818,2021,Egypt,EGY,71,15820.6713809388,,continent,Africa,932
826,2021,United Kingdom,GBR,8,52841.6345850474,0.324,continent,Europe,933
834,2021,Tanzania,TZA,121,3451.4482421875,,continent,Africa,932
840,2021,United States of America,USA,12,71055.87619383,0.397,continent,North America,930
854,2021,Burkina Faso,BFA,111,2467.74060013055,0.374,continent,Africa,932
858,2021,Uruguay,URY,59,29187.42867517,0.408,continent,South America,934
860,2021,Uzbekistan,UZB,76,8162.19581678151,,continent,Asia,931
862,2021,Venezuela,VEN,127,,,continent,South America,934
887,2021,Yemen,YEM,139,,,continent,Asia,931
894,2021,Zambia,ZMB,100,3526.50741804083,,continent,Africa,932
