product_code,x,y,cluster_name,target,name
6801,1.4306229324533124,-0.2728504211345928,"Construction, Building, and Home Supplies",6802," Setts, curbstones and flagstones, of natural stone (except slate)."
6801,1.4306229324533124,-0.2728504211345928,"Construction, Building, and Home Supplies",2515," Setts, curbstones and flagstones, of natural stone (except slate)."
6801,1.4306229324533124,-0.2728504211345928,"Construction, Building, and Home Supplies",6908," Setts, curbstones and flagstones, of natural stone (except slate)."
6801,1.4306229324533124,-0.2728504211345928,"Construction, Building, and Home Supplies",7303," Setts, curbstones and flagstones, of natural stone (except slate)."
6801,1.4306229324533124,-0.2728504211345928,"Construction, Building, and Home Supplies",7614," Setts, curbstones and flagstones, of natural stone (except slate)."
8306,1.010022824434102,-1.6093445984994097,Textile and Home Goods,6913,"Electric, of base metal; statuettes and other ornaments, of base metal; photograph, picture or similar frames, of base metal; mirrors of base metal...."
8306,1.010022824434102,-1.6093445984994097,Textile and Home Goods,6912,"Electric, of base metal; statuettes and other ornaments, of base metal; photograph, picture or similar frames, of base metal; mirrors of base metal...."
8306,1.010022824434102,-1.6093445984994097,Textile and Home Goods,7117,"Electric, of base metal; statuettes and other ornaments, of base metal; photograph, picture or similar frames, of base metal; mirrors of base metal...."
8306,1.010022824434102,-1.6093445984994097,Textile and Home Goods,9505,"Electric, of base metal; statuettes and other ornaments, of base metal; photograph, picture or similar frames, of base metal; mirrors of base metal...."
8306,1.010022824434102,-1.6093445984994097,Textile and Home Goods,4420,"Electric, of base metal; statuettes and other ornaments, of base metal; photograph, picture or similar frames, of base metal; mirrors of base metal...."
9013,-1.8895767171251243,-2.063381028076468,Electronic and Electrical Goods,8542," Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, other than laser diodes; other optical app..."
9013,-1.8895767171251243,-2.063381028076468,Electronic and Electrical Goods,9002," Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, other than laser diodes; other optical app..."
9013,-1.8895767171251243,-2.063381028076468,Electronic and Electrical Goods,8534," Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, other than laser diodes; other optical app..."
9013,-1.8895767171251243,-2.063381028076468,Electronic and Electrical Goods,9011," Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, other than laser diodes; other optical app..."
9013,-1.8895767171251243,-2.063381028076468,Electronic and Electrical Goods,8532," Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, other than laser diodes; other optical app..."
105,1.462525525049477,0.793218909262198,Agriculture,407," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls...."
105,1.462525525049477,0.793218909262198,Agriculture,2309," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls...."
105,1.462525525049477,0.793218909262198,Agriculture,102," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls...."
105,1.462525525049477,0.793218909262198,Agriculture,1702," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls...."
105,1.462525525049477,0.793218909262198,Agriculture,2207," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls...."
2931,-2.730165375617927,0.9154104893043103,Industrial Chemicals and Metals,2933,Inorganic compounds.
2931,-2.730165375617927,0.9154104893043103,Industrial Chemicals and Metals,2924,Inorganic compounds.
2931,-2.730165375617927,0.9154104893043103,Industrial Chemicals and Metals,2918,Inorganic compounds.
2931,-2.730165375617927,0.9154104893043103,Industrial Chemicals and Metals,2921,Inorganic compounds.
2931,-2.730165375617927,0.9154104893043103,Industrial Chemicals and Metals,2932,Inorganic compounds.
3917,1.0678609832342048,0.1811898498654187,"Construction, Building, and Home Supplies",3923," Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics."
3917,1.0678609832342048,0.1811898498654187,"Construction, Building, and Home Supplies",4819," Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics."
3917,1.0678609832342048,0.1811898498654187,"Construction, Building, and Home Supplies",3209," Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics."
3917,1.0678609832342048,0.1811898498654187,"Construction, Building, and Home Supplies",3922," Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics."
3917,1.0678609832342048,0.1811898498654187,"Construction, Building, and Home Supplies",4808," Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics."
6815,-0.5097896179066468,-0.1475842229829627,Minerals,6903," Articles of stone or of other mineral substances (including carbon fibres, articles of carbon fibres and articles of peat), not elsewhere specified o..."
6815,-0.5097896179066468,-0.1475842229829627,Minerals,5602," Articles of stone or of other mineral substances (including carbon fibres, articles of carbon fibres and articles of peat), not elsewhere specified o..."
6815,-0.5097896179066468,-0.1475842229829627,Minerals,7019," Articles of stone or of other mineral substances (including carbon fibres, articles of carbon fibres and articles of peat), not elsewhere specified o..."
6815,-0.5097896179066468,-0.1475842229829627,Minerals,7419," Articles of stone or of other mineral substances (including carbon fibres, articles of carbon fibres and articles of peat), not elsewhere specified o..."
6815,-0.5097896179066468,-0.1475842229829627,Minerals,5404," Articles of stone or of other mineral substances (including carbon fibres, articles of carbon fibres and articles of peat), not elsewhere specified o..."
6912,0.5632885957419251,-1.3999137645606354,Textile and Home Goods,6911," Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china...."
6912,0.5632885957419251,-1.3999137645606354,Textile and Home Goods,6913," Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china...."
6912,0.5632885957419251,-1.3999137645606354,Textile and Home Goods,4414," Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china...."
6912,0.5632885957419251,-1.3999137645606354,Textile and Home Goods,8306," Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china...."
6912,0.5632885957419251,-1.3999137645606354,Textile and Home Goods,8215," Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china...."
7505,-2.0863202935941056,1.288710975042055,Industrial Chemicals and Metals,7507," Nickel bars, rods, profiles and wire."
7505,-2.0863202935941056,1.288710975042055,Industrial Chemicals and Metals,7506," Nickel bars, rods, profiles and wire."
7505,-2.0863202935941056,1.288710975042055,Industrial Chemicals and Metals,7218," Nickel bars, rods, profiles and wire."
7505,-2.0863202935941056,1.288710975042055,Industrial Chemicals and Metals,7222," Nickel bars, rods, profiles and wire."
7505,-2.0863202935941056,1.288710975042055,Industrial Chemicals and Metals,3703," Nickel bars, rods, profiles and wire."
1101,1.684045434841792,1.1669905464130088,Agriculture,3401, Wheat or meslin flour.
1101,1.684045434841792,1.1669905464130088,Agriculture,1103, Wheat or meslin flour.
1101,1.684045434841792,1.1669905464130088,Agriculture,2523, Wheat or meslin flour.
1101,1.684045434841792,1.1669905464130088,Agriculture,2302, Wheat or meslin flour.
1101,1.684045434841792,1.1669905464130088,Agriculture,7010, Wheat or meslin flour.
7216,0.19408401860071,0.3506230599792581,"Construction, Building, and Home Supplies",7217,Alloy steel.
7216,0.19408401860071,0.3506230599792581,"Construction, Building, and Home Supplies",7215,Alloy steel.
7216,0.19408401860071,0.3506230599792581,"Construction, Building, and Home Supplies",7306,Alloy steel.
7216,0.19408401860071,0.3506230599792581,"Construction, Building, and Home Supplies",7214,Alloy steel.
7216,0.19408401860071,0.3506230599792581,"Construction, Building, and Home Supplies",7213,Alloy steel.
9014,-2.0032059308138805,-1.0370930535356342,Electronic and Electrical Goods,9020, Direction finding compasses; other navigational instruments and appliances.
9014,-2.0032059308138805,-1.0370930535356342,Electronic and Electrical Goods,8411, Direction finding compasses; other navigational instruments and appliances.
