country_id,year,country,ISO3,hs_eci_rank,GDP_2021,gini_2021,group_type,group_name,group_id
116,2021,Cambodia,KHM,78,4668.23777959985,,region,Asia,142
116,2021,Cambodia,KHM,78,4668.23777959985,,subregion,South-eastern Asia,35
116,2021,Cambodia,KHM,78,4668.23777959985,,world,world,1
120,2021,Cameroon,CMR,129,4741.76177028658,42.2,continent,Africa,932
120,2021,Cameroon,CMR,129,4741.76177028658,42.2,region,Africa,2
120,2021,Cameroon,CMR,129,4741.76177028658,42.2,subregion,Middle Africa,17
120,2021,Cameroon,CMR,129,4741.76177028658,42.2,world,world,1
124,2021,Canada,CAN,41,55781.6990272912,,continent,North America,930
124,2021,Canada,CAN,41,55781.6990272912,,region,Americas,19
124,2021,Canada,CAN,41,55781.6990272912,,subregion,Northern America,21
124,2021,Canada,CAN,41,55781.6990272912,,world,world,1
