"Mode","Station","annual_entry_exit","Station_london","latitude","longitude"
"LU","Moor Park Station",808774,"Moor Park Station , London",NA,NA
"LU","Moorgate Station",23330204,"Moorgate Station , London",51.5182516,-0.0890625
"LU","Morden Station",8263631,"Morden Station , London",51.402275,-0.194763406193358
"LU","Mornington Crescent Station",2967011,"Mornington Crescent Station , London",51.5341125,-0.1389888
"LU","Neasden Station",2565708,"Neasden Station , London",51.553993,-0.249791183379059
"LU","Newbury Park Station",3371643,"Newbury Park Station , London",51.5751116,0.0918122
"LU","Nine Elms Station",4108613,"Nine Elms Station , London",51.4800468,-0.128973800716787
"LU","North Acton Station",5652447,"North Acton Station , London",51.5235769,-0.2597818
"LU","North Ealing Station",605628,"North Ealing Station , London",51.5163646,-0.2916007
"LU","North Greenwich Station",23172392,"North Greenwich Station , London",51.5004777,0.0029742
"LU","North Harrow Station",1398638,"North Harrow Station , London",51.5846085,-0.36233
"LU","North Wembley Station",1296040,"North Wembley Station , London",51.5626634,-0.3059849
"LU","Northfields Station",2782422,"Northfields Station , London",51.4996213,-0.3150618
"LU","Northolt Station",3937018,"Northolt Station , London",51.5484582,-0.3695247
"LU","Northwick Park Station",3353641,"Northwick Park Station , London",51.578491,-0.3176997
"LU","Northwood Station",2162088,"Northwood Station , London",51.6111756,-0.423664
"LU","Northwood Hills Station",1408690,"Northwood Hills Station , London",51.6010228,-0.4096441
"LU","Notting Hill Gate Station",12110869,"Notting Hill Gate Station , London",51.5089252,-0.1961978
"LU","Oakwood Station",2307306,"Oakwood Station , London",51.64748965,-0.131876503730512
"LU","Old Street Station",15846905,"Old Street Station , London",51.5256284,-0.0876094
"LU","Osterley Station",1675267,"Osterley Station , London",51.48101465,-0.351979186217003
"LU","Oval Station",5615724,"Oval Station , London",51.4824965,-0.1128748
"LU","Oxford Circus Station",51106043,"Oxford Circus Station , London",51.5154418,-0.1419563
"LU","Paddington TfL Station",48546460,"Paddington TfL Station , London",NA,NA
"LU","Park Royal Station",1654538,"Park Royal Station , London",51.5271023,-0.2847498
"LU","Parsons Green Station",5568858,"Parsons Green Station , London",51.4751358,-0.2018604
"LU","Perivale Station",1722368,"Perivale Station , London",51.5371006,-0.3241152
"LU","Piccadilly Circus Station",26739879,"Piccadilly Circus Station , London",51.5098192,-0.1345484
"LU","Pimlico Station",7087668,"Pimlico Station , London",51.4889309,-0.1330996
"LU","Pinner Station",2223811,"Pinner Station , London",51.592432,-0.3820892
"LU","Plaistow Station",4383503,"Plaistow Station , London",51.53131225,0.0178248348398184
"LU","Preston Road Station",2423452,"Preston Road Station , London",51.5723577,-0.2947663
"LU","Putney Bridge Station",5008989,"Putney Bridge Station , London",51.468211,-0.2089888
"LU","Queen's Park Station",4373423,"Queen's Park Station , London",51.533873,-0.2054958
"LU","Queensbury Station",3061427,"Queensbury Station , London",51.5944738,-0.2853771
"LU","Queensway Station",6151983,"Queensway Station , London",51.5104091,-0.1862236
"LU","Ravenscourt Park Station",2717311,"Ravenscourt Park Station , London",51.4929905,-0.2360134
"LU","Rayners Lane Station",3340365,"Rayners Lane Station , London",51.5757725,-0.3709729
"LU","Redbridge Station",2005688,"Redbridge Station , London",51.5762617,0.0456435
"LU","Regent's Park Station",2297814,"Regent's Park Station , London",51.5236277,-0.1466357
"LU","Richmond Station",8875310,"Richmond Station , London",51.4628072,-0.3026053
"LU","Rickmansworth Station",1851241,"Rickmansworth Station , London",NA,NA
"LU","Roding Valley Station",267679,"Roding Valley Station , London",51.6171748,0.0438664898785507
"LU","Royal Oak Station",2138577,"Royal Oak Station , London",51.5199065,-0.18944
"LU","Ruislip Station",1463521,"Ruislip Station , London",51.5715259,-0.421348270097056
"LU","Ruislip Gardens Station",806675,"Ruislip Gardens Station , London",51.5605201,-0.4113891
"LU","Ruislip Manor Station",1396078,"Ruislip Manor Station , London",51.5744535,-0.4139786
"LU","Russell Square Station",7822836,"Russell Square Station , London",51.523136,-0.1262678
"LU","Seven Sisters Station",12165434,"Seven Sisters Station , London",51.5837637,-0.0723543
"LU","Shepherd's Bush LU Station",12373422,"Shepherd's Bush LU Station , London",NA,NA
"LU","Shepherd's Bush Market Station",3216718,"Shepherd's Bush Market Station , London",51.5057411,-0.2273551
"LU","Sloane Square Station",13156281,"Sloane Square Station , London",51.4923207,-0.1571887
"LU","Snaresbrook Station",1849887,"Snaresbrook Station , London",51.5809276,0.0221438
"LU","South Ealing Station",1663555,"South Ealing Station , London",51.5013247,-0.307019870419635
"LU","South Harrow Station",2042489,"South Harrow Station , London",51.5648147,-0.352418185239218
"LU","South Kensington Station",26088906,"South Kensington Station , London",51.494472,-0.1735038
"LU","South Kenton Station",820575,"South Kenton Station , London",51.5706287,-0.3073608
"LU","South Ruislip Station",1503305,"South Ruislip Station , London",51.55657515,-0.398618914743354
"LU","South Wimbledon Station",3609039,"South Wimbledon Station , London",51.4157067,-0.1905778
"LU","South Woodford Station",4051381,"South Woodford Station , London",51.5913113,0.0290062
"LU","Southfields Station",4731235,"Southfields Station , London",51.4450367,-0.206521773910199
"LU","Southgate Station",3947509,"Southgate Station , London",51.6324439,-0.1282536
"LU","Southwark Station",8508705,"Southwark Station , London",51.5032295,-0.1044786
"LU","St. James's Park Station",9534074,"St. James's Park Station , London",51.4977832,-0.1344199
"LU","St. John's Wood Station",5870213,"St. John's Wood Station , London",51.5353523,-0.1742097
"LU","St. Paul's Station",9189088,"St. Paul's Station , London",51.515543,-0.0970327
"LU","Stamford Brook Station",2134593,"Stamford Brook Station , London",51.4947956,-0.245130041770186
"LU","Stanmore Station",3002979,"Stanmore Station , London",51.6197796,-0.3028244
"LU","Stepney Green Station",5133701,"Stepney Green Station , London",51.5223571,-0.0466049
"LU","Stockwell Station",7381051,"Stockwell Station , London",51.4717205,-0.1233143
"LU","Stonebridge Park Station",2385943,"Stonebridge Park Station , London",51.5441089,-0.275294
