country_id,year,sitc_eci,hs_eci,growth_proj,sitc_eci_rank,hs_eci_rank,country,ISO3,legacy_location_id,hs_eci_1993,hs_eci_2022,hs_eci_1993_2022
705,2022,1.6714664,1.6650841236114502,2.057,9,12,Slovenia,SVN,207,,,
710,2022,-0.20983854,0.04260630160570145,2.089,76,62,South Africa,ZAF,246,,,
716,2022,-0.8866535,-1.1036632061004639,3.334,116,126,Zimbabwe,ZWE,248,,,
724,2022,0.82458675,0.759626567363739,2.396,33,35,Spain,ESP,71,,,
729,2022,-1.4144287,-1.2026842832565308,3.232,135,131,Sudan,SDN,190,,,
748,2022,-0.08704377,0.09322696924209595,2.9,69,58,Eswatini,SWZ,209,,,
752,2022,1.5885298,1.6873983144760132,2.143,11,10,Sweden,SWE,208,,,
756,2022,2.0829551,2.2522873878479004,1.851,3,2,Switzerland,CHE,41,,,
762,2022,-1.0141605,-1.071223497390747,4.602,123,123,Tajikistan,TJK,217,,,
764,2022,1.0793952,1.0740342140197754,4.25,26,25,Thailand,THA,216,,,
768,2022,-1.1044855,-1.0210765600204468,2.543,127,121,Togo,TGO,215,,,
780,2022,-0.22798508,-0.1896953135728836,1.708,80,73,Trinidad and Tobago,TTO,222,,,
784,2022,0.020361304,0.11325564235448837,3.09,62,57,United Arab Emirates,ARE,7,,,
788,2022,0.3043773,0.1464780867099762,4.062,48,54,Tunisia,TUN,223,,,
792,2022,0.6080265,0.5555433034896851,4.265,42,43,Turkiye,TUR,224,,,
795,2022,-0.90626204,-0.9229055047035217,4.846,117,114,Turkmenistan,TKM,219,,,
800,2022,-0.5735074,-0.8178983330726624,6.695,96,106,Uganda,UGA,227,,,
804,2022,0.31271634,0.26072150468826294,0.764,47,51,Ukraine,UKR,228,,,
807,2022,0.27513185,0.12521737813949585,2.045,49,55,North Macedonia,MKD,140,,,
818,2022,-0.19998606,-0.2108517587184906,5.486,75,74,Egypt,EGY,68,,,
826,2022,1.6361722,1.8285157680511475,2.676,10,7,United Kingdom,GBR,81,,,
834,2022,-1.0032604,-1.08212149143219,5.096,120,124,Tanzania,TZA,226,,,
840,2022,1.4802996,1.6427072286605835,2.249,14,13,United States of America,USA,231,,,
854,2022,-0.5773888,-0.6308950185775757,4.089,98,94,Burkina Faso,BFA,21,,,
858,2022,0.0974317,0.08126270771026611,1.494,57,59,Uruguay,URY,230,,,
860,2022,-0.046318118,-0.14669904112815857,6.148,66,71,Uzbekistan,UZB,232,,,
862,2022,-1.0149921,-0.862514078617096,0.937,124,109,Venezuela,VEN,236,,,
887,2022,-0.7067493,-1.09341299533844,3.749,103,125,Yemen,YEM,243,,,
894,2022,-0.8095304,-0.723530650138855,3.368,112,99,Zambia,ZMB,247,,,
